"Player.name","position","Games","At.bat","Runs","Hits","Double..2B.","third.baseman","home.run","run.batted.in","a.walk","Strikeouts","stolen.base","Caught.stealing","AVG","On.base.Percentage","Slugging.Percentage","On.base.Plus.Slugging","Total_Bases","ISO","BB_K_Ratio","dominant_xbh","sb.attempts","SBSR","RPE","PA","totalXBH","xbhRate","Strikeouts_per_Game","Run_Production","OBP","SLG","AB_per_HR"
"M Mantle","CF",2401,8102,1677,2415,344,72,536,1509,1733,1710,153,38,0.298,0.421,0.557,0.97853512855977,4511,0.259,1.01345029239766,"Home Runs",191,80.1047120418848,0.196618118982967,9835,952,0.394202898550725,0.712203248646397,1.32694710537276,0.421759023894255,0.556776104665515,15.115671641791
"J Foxx","1B",2317,8134,1751,2646,458,125,534,1922,1452,1311,87,72,0.325,0.428,0.609,1.03679275535572,4956,0.284,1.10755148741419,"Home Runs",159,54.7169811320755,0.225780673715269,9586,1117,0.422146636432351,0.565817867932672,1.58523953388002,0.427498435218026,0.609294320137694,15.2322097378277
"W McCovey","1B",2588,8197,1229,2211,353,46,521,1555,1345,1550,26,22,0.27,0.374,0.515,0.887368703913868,4219,0.245,0.867741935483871,"Home Runs",48,54.1666666666667,0.16981822618031,9542,920,0.4161013116237,0.598918083462133,1.0757341576507,0.372668203730874,0.514700500182994,15.7332053742802
"F Thomas","DH",2322,8199,1494,2468,495,12,521,1704,1667,1397,32,23,0.301,0.419,0.555,0.974061881585486,4550,0.254,1.1932712956335,"Home Runs",55,58.1818181818182,0.195023783388218,9866,1028,0.416531604538088,0.601636520241171,1.37726098191214,0.419116156497061,0.554945725088425,15.7370441458733
"T Williams","LF",2292,7706,1798,2654,525,71,521,1839,2019,709,24,17,0.344,0.482,0.634,1.11430598932358,4884,0.29,2.84767277856135,"Doubles",41,58.5365853658537,0.235984946794705,9725,1117,0.42087415222306,0.309336823734729,1.58682373472949,0.480514138817481,0.633791850506099,14.7907869481766
"E Banks","1B",2528,9421,1305,2583,407,90,512,1636,763,1236,50,53,0.274,0.33,0.5,0.828076939144078,4706,0.226,0.617313915857605,"Home Runs",103,48.5436893203884,0.156087464175778,10184,1009,0.390631049167635,0.488924050632911,1.16337025316456,0.328554595443833,0.499522343700244,18.400390625
"E Mathews","3B",2391,8537,1509,2315,354,72,512,1453,1444,1487,68,39,0.271,0.376,0.509,0.886045111575881,4349,0.238,0.971082716879623,"Home Runs",107,63.5514018691589,0.173480145250088,9981,938,0.405183585313175,0.621915516520284,1.2388122124634,0.376615569582206,0.509429541993675,16.673828125
"M Ott","RF",2730,9456,1859,2876,488,72,511,1860,1708,896,89,0,0.304,0.414,0.533,0.94370619455453,5041,0.229,1.90625,"Home Runs",89,100,0.196647631133672,11164,1071,0.372392211404729,0.328205128205128,1.36227106227106,0.410605517735579,0.533100676818951,18.5048923679061
"G Sheffield","RF",2576,9217,1636,2689,467,27,509,1676,1475,1171,253,104,0.292,0.393,0.514,0.903391685714206,4737,0.222,1.25960717335611,"Home Runs",357,70.8683473389356,0.179668004773788,10692,1003,0.373001115656378,0.454580745341615,1.28571428571429,0.389450056116723,0.513941629597483,18.1080550098232
"M Cabrera","DH",2702,10032,1530,3090,608,17,507,1848,1228,2033,40,21,0.308,0.384,0.524,0.907105751825066,5253,0.216,0.604033448106247,"Doubles",61,65.5737704918033,0.168361244019139,11260,1132,0.366343042071197,0.75240562546262,1.25018504811251,0.38348134991119,0.523624401913876,19.7869822485207
"E Murray","1B",3026,11336,1627,3255,560,35,504,1917,1333,1516,110,43,0.287,0.359,0.476,0.838237675881086,5397,0.189,0.879287598944591,"Doubles",153,71.8954248366013,0.156316160903317,12669,1099,0.337634408602151,0.500991407799075,1.17118307997356,0.362143815612913,0.476093860268172,22.4920634920635
"F McGriff","1B",2460,8757,1349,2490,441,24,493,1550,1305,1882,72,38,0.284,0.377,0.509,0.886240049616325,4458,0.225,0.693411264612115,"Home Runs",110,65.4545454545455,0.16552472307868,10062,958,0.384738955823293,0.765040650406504,1.17845528455285,0.377161598091831,0.509078451524495,17.762677484787
"L Gehrig","1B",2164,8001,1888,2721,534,163,493,1995,1508,790,102,101,0.34,0.447,0.632,1.07715751274071,5060,0.292,1.90886075949367,"Doubles",203,50.2463054187192,0.242657167854018,9509,1190,0.43733921352444,0.365064695009242,1.79436229205176,0.444736565359133,0.632420947381577,16.2292089249493
"A Beltr?","3B",2933,11068,1524,3166,636,38,477,1707,848,1732,121,42,0.286,0.339,0.48,0.816529130003265,5309,0.194,0.489607390300231,"Doubles",163,74.2331288343558,0.145961329960246,11916,1151,0.363550221099179,0.590521650187521,1.10160245482441,0.336858006042296,0.479671123960969,23.2033542976939
"W Stargell","LF",2360,7927,1195,2232,423,55,475,1540,937,1936,17,16,0.282,0.36,0.529,0.886086768636552,4190,0.247,0.483987603305785,"Home Runs",33,51.5151515151515,0.172511668979437,8864,953,0.426971326164875,0.820338983050847,1.15889830508475,0.357513537906137,0.528573230730415,16.6884210526316
"S Musial","OF",3026,10972,1949,3630,725,177,475,1951,1599,696,78,31,0.331,0.417,0.559,0.975016786171136,6134,0.228,2.29741379310345,"Doubles",109,71.5596330275229,0.177725118483412,12571,1377,0.379338842975207,0.230006609385327,1.28883013879709,0.415957362182802,0.559059423988334,23.0989473684211
