"Player.name","position","Games","At.bat","Runs","Hits","Double..2B.","third.baseman","home.run","run.batted.in","a.walk","Strikeouts","stolen.base","Caught.stealing","AVG","On.base.Percentage","Slugging.Percentage","On.base.Plus.Slugging","Total_Bases","ISO","BB_K_Ratio","sb.attempts","SBSR","PA","totalRuns","OBP","SLG","AB_per_HR"
"C Barmes","SS",1186,3805,434,932,208,17,89,415,216,734,43,30,0.245,0.294,0.379,0.664213339886751,1441,0.134,0.294277929155313,73,58.9041095890411,4021,849,0.285501119124596,0.378712220762155,42.752808988764
"G Norton","3B",1107,2410,315,600,126,8,89,338,323,604,15,18,0.249,0.339,0.419,0.756396311866795,1009,0.17,0.53476821192053,33,45.4545454545455,2733,653,0.33772411269667,0.418672199170124,27.0786516853933
"W Moses","RF",2014,7356,1124,2138,435,110,89,679,821,457,174,81,0.291,0.364,0.416,0.77785560541534,3060,0.125,1.7964989059081,255,68.2352941176471,8177,1803,0.361868655986303,0.415986949429038,82.6516853932584
"F Mantilla","2B",969,2707,360,707,97,10,89,330,256,352,27,10,0.261,0.329,0.403,0.728037620992612,1091,0.142,0.727272727272727,37,72.972972972973,2963,690,0.325008437394533,0.403029183598079,30.4157303370787
"D Hoak","3B",1263,4322,598,1144,214,44,89,498,523,530,64,47,0.265,0.345,0.396,0.740410332524836,1713,0.131,0.986792452830189,111,57.6576576576577,4845,1096,0.34406604747162,0.396344285053216,48.561797752809
"C Walker","1B",549,1833,270,456,96,5,89,258,201,483,12,4,0.249,0.329,0.452,0.775272897566251,829,0.203,0.416149068322981,16,75,2034,528,0.323008849557522,0.452264048008729,20.5955056179775
"R Gedman","C",1033,3159,331,795,176,12,88,382,236,509,3,4,0.252,0.304,0.399,0.702225728113472,1259,0.147,0.463654223968566,7,42.8571428571429,3395,713,0.303681885125184,0.398543842988287,35.8977272727273
"G Zaun","C",1232,3489,437,878,194,9,88,446,479,544,23,19,0.252,0.344,0.388,0.73006269993713,1354,0.136,0.880514705882353,42,54.7619047619048,3968,883,0.341985887096774,0.388076812840355,39.6477272727273
"D Wilson","C",1299,4186,441,1097,211,13,88,519,280,763,23,14,0.262,0.309,0.382,0.690078287529562,1598,0.12,0.36697247706422,37,62.1621621621622,4466,960,0.30832960143305,0.381748686096512,47.5681818181818
"K Elster","SS",940,2844,332,648,136,12,88,376,295,562,14,11,0.228,0.3,0.377,0.677348040553286,1072,0.149,0.52491103202847,25,56,3139,708,0.300414144632048,0.376933895921238,32.3181818181818
